threads_maximo,time
1,0.1553673
2,0.14451994999999998
3,0.16126585
4,0.17589639999999998
5,0.21117105000000005
6,0.26417355000000003
7,0.2113369
8,0.25930805
9,0.26909385
10,0.31624495
11,0.30307470000000003
12,0.3917266
13,0.3731953
14,0.44244335
15,0.44009775
16,0.43846665
17,0.4568180500000002
18,0.4904326499999999
19,0.52339185
20,0.5098277500000001
21,0.6068838999999999
22,0.5439843499999999
23,0.5977339
24,0.6030029500000001
25,0.73665275
26,0.6806182
27,0.67453185
28,0.7137560000000001
29,0.66968725
30,0.70782545
